iter,fes,curr_bestf,bestf,time,distance_history,distance_gen,distance_train,d1_loss,d1_real,d1_fake,d1_Wdistance,d2_loss,d2_real,d2_fake,d2_Wdistance,g_loss,g_d1_loss,g_d2_loss,spread_history,spread_gen,spread_train,best_x
0,150,163087490.0,163087490.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
1,180,1117627039.339847,163087488.0,4.6293044090271,47.43512196771946,49.284009279960735,47.43512196771946,-5229.66259765625,10336.7900390625,-282.6603088378906,10619.4501953125,-4887.0537109375,8953.318359375,-772.8185424804688,9726.13671875,137.7375946044922,-10.782564163208008,-423.18341064453125,743.16425,702.2483,743.16425,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
