iter,fes,curr_bestf,bestf,time,distance_history,distance_gen,distance_train,d1_loss,d1_real,d1_fake,d1_Wdistance,d2_loss,d2_real,d2_fake,d2_Wdistance,g_loss,g_d1_loss,g_d2_loss,spread_history,spread_gen,spread_train,best_x
0,1000,49478284.0,49478284.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
1,1500,958977524.3423445,49478284.0,13.798831224441528,27.643658720416635,29.735016702015397,27.643658720416635,-5912.6396484375,2803.090087890625,-8622.4365234375,11425.5263671875,-5044.818359375,8771.7216796875,-780.6597900390625,9552.3818359375,9091.90234375,-8742.185546875,-1165.7222900390625,695.4899,701.34094,695.4899,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
11,6500,1062628533.9710565,49478284.0,152.56285452842712,41.413840699263424,28.695234377280993,35.25224606568413,-2097.25732421875,-19210.029296875,-23462.90234375,4252.873046875,-4093.271484375,7583.1611328125,-1164.869384765625,8748.0302734375,23513.044921875,-23278.1328125,-783.0426635742188,726.072895431148,701.52734,709.56537,"[1381.85766602   84.66886902   86.64254761  188.59791565   10.77481937
  384.77639771  492.55609131 2208.05810547]"
21,11500,959282067.381605,44005880.20514827,285.07644748687744,171.62255452447812,28.421815609153423,81.29657930149743,-2336.68994140625,9533.2099609375,4163.14306640625,5370.06689453125,-4938.59326171875,7796.44189453125,-1369.411376953125,9165.853515625,-3981.620849609375,4370.34033203125,-1295.7315673828125,759.3785641444942,701.809,746.3319174480288,"[1273.69140954    7.72209191   86.19278279  138.93259483   43.13817775
 1465.05957226  860.14462131 2291.61423047]"
31,16500,894988529.0276746,44005880.20514827,402.30904936790466,188.52479900179785,28.139294442545303,207.0162503271113,-5648.30615234375,29057.03515625,18092.837890625,10964.197265625,-7387.53515625,10412.658203125,-1830.1402587890625,12242.798828125,-17607.208984375,18081.869140625,-1582.201416015625,780.851013706243,701.95123,774.74865086701,"[1273.69140954    7.72209191   86.19278279  138.93259483   43.13817775
 1465.05957226  860.14462131 2291.61423047]"
41,21500,914667802.9111259,36492332.7667314,537.3750646114349,217.02000958282832,29.425283679592134,252.15941918501173,-5591.8984375,29213.845703125,18661.572265625,10552.2734375,-6411.00048828125,8323.123046875,-2313.004150390625,10636.126953125,-18526.6171875,19084.03125,-1858.0491943359375,788.6199455394956,701.712,786.279331373659,"[1235.48204692    8.16729469   86.77993736  146.23570932   23.83806057
  511.02470508  934.68223739 2233.17387245]"
51,26500,970360420.9462636,35516269.81469078,671.433427810669,286.3686480534639,29.38262357639256,288.41261887433694,-5628.77587890625,32117.716796875,20578.06640625,11539.650390625,-5092.81103515625,9150.98828125,-268.3565979003906,9419.3447265625,-20335.52734375,20471.587890625,-453.5335998535156,796.83181520131,701.917,796.7231810277808,"[1410.50416125   21.52802423   85.46577506   63.04077014   31.89909706
  868.2084284   621.89977454 2515.64339864]"
61,31500,990878713.7274964,35516269.81469078,786.4644212722778,484.84770489878633,29.924520701690764,510.50972087655214,-8161.232421875,24966.888671875,8793.53515625,16173.353515625,-5489.0517578125,9483.7236328125,-514.0440063476562,9997.767578125,-9026.009765625,9160.2646484375,-447.5159912109375,796.0008934506194,701.524,789.8424027955431,"[1410.50416125   21.52802423   85.46577506   63.04077014   31.89909706
  868.2084284   621.89977454 2515.64339864]"
71,36500,839415491.4813843,21314749.69647521,902.671763420105,561.7450611534947,29.494347383272878,532.0510497279975,-11732.5166015625,29596.4921875,7307.44775390625,22289.044921875,-4026.201171875,7412.54345703125,-1124.51171875,8537.0546875,-7390.34765625,7612.3408203125,-739.9767456054688,789.2600985982688,701.46313,799.7849277174552,"[1240.88333845   15.42279827   86.49703609  113.99310679   26.35380231
  863.78153246  748.81995908 2386.94320646]"
81,41500,1062310264.9519284,20565857.332102265,1021.4053649902344,513.2135352441077,29.171189015720323,518.2441700279794,-7452.0546875,17888.69140625,3961.97265625,13926.71875,-6337.7919921875,9220.56640625,-1438.92333984375,10659.490234375,-4724.55615234375,4969.6806640625,-817.081787109375,772.6401908191135,700.8987,775.5422814159464,"[1298.06250169   14.8269076    85.81672725  110.48792365   27.97365938
  627.64416976  754.05641457 2369.95432676]"
91,46500,933416770.026559,19210555.61368577,1135.3350148200989,266.0231446942765,29.537852832026047,497.2880978070772,-9583.7158203125,18509.767578125,271.2142028808594,18238.552734375,-3708.68115234375,6871.4677734375,-1111.4500732421875,7982.91796875,505.11566162109375,-77.89254760742188,-1424.0770263671875,781.519483766176,701.45825,779.5419153530287,"[1249.54785158   15.31592333   86.02713933  110.79088374   27.73170499
  645.46224747  753.29089473 2380.25647087]"
101,51500,873674037.2447281,19210555.61368577,1249.116730928421,158.96861739733356,29.145603343955884,158.96861739733356,-11622.25390625,16127.423828125,-5679.451171875,21806.875,-5615.6884765625,9221.7099609375,-604.4152221679688,9826.125,6401.47119140625,-6226.4345703125,-583.4556274414062,777.7107912358283,701.7437,777.7107912358283,"[1249.54785158   15.31592333   86.02713933  110.79088374   27.73170499
  645.46224747  753.29089473 2380.25647087]"
111,56500,1020621525.1570936,19210555.61368577,1362.9897623062134,173.8909319446121,28.889297428329233,173.8909319446121,-10872.1171875,15462.7861328125,-6621.11474609375,22083.900390625,-4375.4072265625,8317.490234375,-1064.581298828125,9382.0712890625,7430.66162109375,-7132.54833984375,-993.7113647460938,776.5170490737936,700.7128,776.5170490737936,"[1249.54785158   15.31592333   86.02713933  110.79088374   27.73170499
  645.46224747  753.29089473 2380.25647087]"
