iter,fes,curr_bestf,bestf,time,distance_history,distance_gen,distance_train,d1_loss,d1_real,d1_fake,d1_Wdistance,d2_loss,d2_real,d2_fake,d2_Wdistance,g_loss,g_d1_loss,g_d2_loss,spread_history,spread_gen,spread_train,best_x
0,1000,49463.113,49463.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
1,1500,1353447.1357681064,49463.11328125,5.706017732620239,27.957020685033882,32.747408847588034,27.957020685033882,-5381.2783203125,25874.62890625,16508.287109375,9366.341796875,-5725.3330078125,31768.712890625,21145.19921875,10623.513671875,-16941.90625,16315.552734375,20878.462890625,680.30237,673.36957,680.30237,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
11,6500,1327175.9056599312,49463.11328125,62.51887512207031,27.461886123081232,33.67881647234413,27.461886123081232,-1490.404296875,-8666.623046875,-11957.9736328125,3291.3505859375,-5035.0810546875,30472.69921875,20049.708984375,10422.990234375,11481.9560546875,-12094.419921875,20415.44921875,691.3164,675.8711,691.3164,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
21,11500,1196451.0525529066,23320.01259341667,120.29063057899475,21.450652837833672,33.129537504652596,27.36683279996056,-3573.49853515625,-7626.45263671875,-12759.498046875,5133.04541015625,-5495.7939453125,29317.85546875,19449.138671875,9868.716796875,12281.72265625,-12852.29296875,19019.01953125,681.0316476363404,673.7556,692.8314,"[1342.57750366   54.72393114   86.75785747  204.55350209   10.1712065
  381.49157163 1052.69761358 2058.95798703]"
31,16500,1163697.7586851178,23320.01259341667,177.0905957221985,21.46555763083253,32.953343035026236,21.46555763083253,-5680.5625,-21510.685546875,-31726.455078125,10215.76953125,-6763.1318359375,33699.33203125,21636.4921875,12062.83984375,31127.80078125,-31772.5078125,21490.259765625,679.8570626217154,675.14575,679.8570626217154,"[1342.57750366   54.72393114   86.75785747  204.55350209   10.1712065
  381.49157163 1052.69761358 2058.95798703]"
41,21500,1386581.666762359,23320.01259341667,234.639790058136,24.562794664868708,31.971976535017035,21.65242545438573,-2778.67236328125,-26250.111328125,-33748.59765625,7498.486328125,-5719.859375,31216.529296875,20213.072265625,11003.45703125,33708.44921875,-34326.55859375,20603.689453125,703.6762223258839,674.96155,679.6185335901752,"[1342.57750366   54.72393114   86.75785747  204.55350209   10.1712065
  381.49157163 1052.69761358 2058.95798703]"
51,26500,1124150.545664777,23320.01259341667,290.95158410072327,26.507753799427828,32.52395372863829,26.507753799427828,-3280.869873046875,-3237.513916015625,-9880.162109375,6642.6484375,-6277.2841796875,32595.912109375,21083.384765625,11512.52734375,9479.0224609375,-10125.76171875,21557.98046875,709.8033887096974,676.0466,709.8033887096974,"[1342.57750366   54.72393114   86.75785747  204.55350209   10.1712065
  381.49157163 1052.69761358 2058.95798703]"
61,31500,948841.9254959746,23320.01259341667,348.40919852256775,113.06724253328672,33.44873288630097,28.22606391545001,-4120.84716796875,1679.4083251953125,-5598.83740234375,7278.24560546875,-4518.7265625,27596.044921875,18448.669921875,9147.375,4361.33154296875,-4923.70263671875,18745.701171875,747.4994214047739,674.4945,715.9761217532958,"[1342.57750366   54.72393114   86.75785747  204.55350209   10.1712065
  381.49157163 1052.69761358 2058.95798703]"
71,36500,1171608.102459164,23320.01259341667,404.72442269325256,114.83954171586205,33.73330596649843,114.83954171586205,-3566.93603515625,32565.392578125,25502.603515625,7062.7890625,-4736.2060546875,29909.716796875,20320.3984375,9589.318359375,-26248.984375,25636.00390625,20432.673828125,749.4994007699044,675.9582,749.4994007699044,"[1342.57750366   54.72393114   86.75785747  204.55350209   10.1712065
  381.49157163 1052.69761358 2058.95798703]"
81,41500,1537720.1272988915,23320.01259341667,461.9550657272339,99.44339418145896,32.81512502572683,117.66665823609961,-4719.59326171875,34595.1171875,26343.11328125,8252.00390625,-6653.484375,30995.6015625,19095.732421875,11899.869140625,-27519.341796875,26923.830078125,19850.39453125,763.4154204403881,670.91956,751.618005505087,"[1342.57750366   54.72393114   86.75785747  204.55350209   10.1712065
  381.49157163 1052.69761358 2058.95798703]"
