iter,fes,curr_bestf,bestf,time,distance_history,distance_gen,distance_train,d1_loss,d1_real,d1_fake,d1_Wdistance,d2_loss,d2_real,d2_fake,d2_Wdistance,g_loss,g_d1_loss,g_d2_loss,spread_history,spread_gen,spread_train,best_x
0,150,163087490.0,163087490.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
1,650,958977524.3423445,163087488.0,12.027544260025024,42.897372893721645,29.735016702015397,42.897372893721645,-5578.4755859375,2976.48486328125,-7146.63525390625,10123.1201171875,-5044.818359375,8771.7216796875,-780.6597900390625,9552.3818359375,7783.13720703125,-7433.42041015625,-1165.7222900390625,697.4917,701.34094,697.4917,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
11,5650,1062628533.9710565,163087488.0,130.74071311950684,229.08179395106689,28.695234377280993,628.2552814065939,-4659.8408203125,41699.08984375,32374.7109375,9324.37890625,-4093.271484375,7583.1611328125,-1164.869384765625,8748.0302734375,-31964.87109375,32199.783203125,-783.0426635742188,782.3286488962242,701.52734,785.9969,"[1336.63330078   36.15421677   86.7388916   106.23194122   65.17996979
  855.9229126  1064.83435059 2325.65454102]"
20,10150,977700602.4776845,163087488.0,235.7685844898224,nan,29.333383121909478,nan,-4653.4853515625,26161.08984375,16895.3515625,9265.73828125,-5115.77099609375,8112.49267578125,-1795.515625,9908.0078125,-16025.2099609375,16600.7109375,-1918.3353271484375,772.0259635665741,702.079,772.0259635665741,"[1336.63330078   36.15421677   86.7388916   106.23194122   65.17996979
  855.9229126  1064.83435059 2325.65454102]"
