iter,fes,curr_bestf,bestf,time,distance_history,distance_gen,distance_train,d1_loss,d1_real,d1_fake,d1_Wdistance,d2_loss,d2_real,d2_fake,d2_Wdistance,g_loss,g_d1_loss,g_d2_loss,spread_history,spread_gen,spread_train,best_x
0,1000,49463.113,49463.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
1,1100,1353447.1357681064,49463.11328125,105.9389820098877,26.771356414179433,48.18432299423917,26.771356414179433,-3954.19580078125,20028.21875,12023.4619140625,8004.7568359375,-5725.3330078125,31768.712890625,21145.19921875,10623.513671875,-18019.95703125,11756.4189453125,20878.462890625,736.3083,672.7305,736.3083,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
11,2100,1535590.380038641,49463.11328125,147.98882865905762,28.552044479467604,48.04863084965207,28.552044479467604,-1901.2220458984375,-13236.658203125,-16959.66796875,3723.009765625,-4945.76904296875,32567.763671875,22056.1328125,10511.630859375,10198.849609375,-16798.279296875,21998.099609375,685.8496,674.31757,685.8496,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
21,3100,1267749.074585118,49463.11328125,189.6938784122467,28.881866880394977,51.884009482649,28.881866880394977,-2557.3828125,-15404.5,-20244.572265625,4840.072265625,-3731.4326171875,29644.9453125,20895.44921875,8749.49609375,13534.666015625,-19617.75,20276.947265625,688.5317,669.5377,688.5317,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
31,4100,1752405.4801752751,49463.11328125,231.2128086090088,28.9451885826074,46.461235779696814,28.9451885826074,-5271.884765625,-13380.9091796875,-21832.83203125,8451.9228515625,-5801.244140625,30297.228515625,19597.37109375,10699.857421875,16390.421875,-22093.6015625,19010.6015625,689.01917,672.67395,689.01917,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
41,5100,1671215.1147642352,49463.11328125,272.7300968170166,29.194176280592874,46.64077144404486,29.194176280592874,-2942.620849609375,-16607.3984375,-22464.380859375,5856.982421875,-4112.82958984375,29562.716796875,20285.365234375,9277.3515625,16388.81640625,-22512.603515625,20412.62109375,687.6682,671.4537,687.6682,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
51,6100,1614574.5453732638,49463.11328125,314.3695318698883,29.36352187242224,47.027818668377265,29.36352187242224,-7153.09765625,-14935.2666015625,-26260.689453125,11325.4228515625,-5420.33154296875,30904.142578125,20258.556640625,10645.5859375,20515.90234375,-26556.0078125,20133.68359375,686.30023,669.7101,686.30023,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
61,7100,1667539.434268319,49463.11328125,355.89440393447876,29.518462434518398,46.76603514611923,29.518462434518398,-6343.97705078125,-16781.970703125,-27785.478515625,11003.5078125,-5032.49169921875,29513.08984375,19820.125,9692.96484375,22518.234375,-28339.736328125,19405.005859375,683.8758,673.8349,683.8758,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
71,8100,1398186.7524765055,49463.11328125,397.2866337299347,29.695188472715806,48.353946797525786,29.695188472715806,-5500.681640625,-22545.158203125,-33440.796875,10895.638671875,-5512.7470703125,32094.3125,21558.2890625,10536.0234375,27515.671875,-34014.00390625,21661.107421875,681.7879,672.7757,681.7879,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
81,9100,1722565.1055928618,49463.11328125,438.580495595932,30.996563340204673,47.55808652712112,30.996563340204673,-10607.755859375,-15464.505859375,-31525.76953125,16061.263671875,-4289.4443359375,28849.2578125,19486.166015625,9363.091796875,25347.38671875,-31250.02734375,19675.46484375,685.3228,674.608,685.3228,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
