iter,fes,curr_bestf,bestf,time,distance_history,distance_gen,distance_train,d1_loss,d1_real,d1_fake,d1_Wdistance,d2_loss,d2_real,d2_fake,d2_Wdistance,g_loss,g_d1_loss,g_d2_loss,spread_history,spread_gen,spread_train,best_x
0,150,201733.81,201733.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
1,180,1880877.905819248,201733.8125,104.11533951759338,100.94910806948353,67.80983225055961,100.94910806948353,-7170.2158203125,27445.275390625,16765.962890625,10679.3125,-5725.3330078125,31768.712890625,21145.19921875,10623.513671875,-22801.521484375,16537.982421875,20878.462890625,725.38617,671.8064,725.38617,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
11,480,1729797.7293942943,201733.8125,142.5000774860382,50.741182693478905,71.71359712585655,50.741182693478905,-1176.4384765625,13429.720703125,11370.1708984375,2059.5498046875,-5030.041015625,29164.23046875,19554.720703125,9609.509765625,-17311.28125,11299.255859375,20040.083984375,713.535,672.0203,713.535,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
21,780,1811742.4887216345,201733.8125,180.81183123588562,52.0263375267677,61.85792405927239,52.0263375267677,-1369.6219482421875,16491.8671875,14081.6103515625,2410.2568359375,-3767.87841796875,29488.349609375,20710.697265625,8777.65234375,-20735.64453125,14437.1689453125,20994.9140625,717.6625,677.29785,717.6625,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
31,1080,1938372.1194953567,201733.8125,219.1207275390625,52.26893466326132,66.5682926505665,52.26893466326132,-480.946044921875,18691.302734375,16828.513671875,1862.7890625,-4089.8408203125,30641.470703125,21613.419921875,9028.05078125,-22634.583984375,16359.998046875,20915.287109375,719.3862,674.1614,719.3862,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
41,1380,1127108.1163553104,201733.8125,257.69048047065735,57.69123300742089,55.89842766979196,57.69123300742089,-1497.5963134765625,19959.626953125,16578.923828125,3380.703125,-5603.0751953125,30889.146484375,19973.798828125,10915.34765625,-22288.310546875,16359.6044921875,19762.3515625,722.09595,679.08746,722.09595,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
51,1680,2085015.41865746,201733.8125,296.1007797718048,56.77665070419753,72.01215694007217,56.77665070419753,-1168.46630859375,21376.70703125,18747.603515625,2629.103515625,-6718.3056640625,32112.189453125,20587.455078125,11524.734375,-24843.583984375,18700.619140625,20476.548828125,725.0033,669.8217,725.0033,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
61,1980,1855138.284428935,201733.8125,334.185879945755,57.3289216355036,76.43359673471686,57.3289216355036,-4125.29296875,24535.26953125,18637.73828125,5897.53125,-5551.0107421875,29530.27734375,18981.5546875,10548.72265625,-24598.5703125,18859.78515625,19129.287109375,725.02496,672.3949,725.02496,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
71,2280,1970763.1903650933,201733.8125,372.351850271225,57.01143961292784,70.70672410999117,57.01143961292784,-3693.16455078125,23834.21484375,18243.654296875,5590.560546875,-4403.646484375,29713.857421875,20228.94921875,9484.908203125,-24470.546875,18376.853515625,20312.3125,726.343,670.07404,726.343,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
81,2580,1675558.754889359,201733.8125,410.5991632938385,59.545537037763665,66.4305940057391,59.545537037763665,-1898.902587890625,22487.130859375,18557.4453125,3929.685546875,-4702.0078125,29768.150390625,20253.232421875,9514.91796875,-24689.23828125,18603.458984375,20285.931640625,726.0476,677.72095,726.0476,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
91,2880,1856466.3126051165,201733.8125,448.8048691749573,62.844194284869204,61.95284117138562,62.844194284869204,-3117.103271484375,25060.31640625,19096.62890625,5963.6875,-5945.2490234375,31290.65234375,20756.251953125,10534.400390625,-25168.27734375,19012.537109375,20519.134765625,727.75366,676.79755,727.75366,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
101,3180,1389861.5085778846,201733.8125,486.8525104522705,65.64166808489186,56.49883418927288,65.64166808489186,-3164.1923828125,25076.533203125,19115.962890625,5960.5703125,-3729.80908203125,28839.1875,20052.419921875,8786.767578125,-24695.91015625,18785.650390625,19700.869140625,728.9073,671.9032,728.9073,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
111,3480,1790899.9089320041,201733.8125,524.9256517887115,68.18295931167665,74.97827772474268,68.18295931167665,-3380.073974609375,24087.7578125,18431.677734375,5656.080078125,-4745.67724609375,28813.462890625,19527.521484375,9285.94140625,-23992.326171875,18173.720703125,19395.349609375,729.75,669.14825,729.75,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
121,3780,1637074.558822288,201733.8125,562.9792246818542,71.79009444545899,68.14785134589404,71.79009444545899,-2410.0546875,24742.46484375,19598.67578125,5143.7890625,-6139.1650390625,31800.388671875,20368.8515625,11431.537109375,-25955.005859375,19804.81640625,20500.6328125,731.7108,679.94305,731.7108,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
131,4080,2021777.6037896096,201733.8125,601.0134646892548,72.74150151900307,63.92400016560287,72.74150151900307,-3464.285888671875,27069.404296875,20913.755859375,6155.6484375,-5455.810546875,31782.033203125,20626.94921875,11155.083984375,-27294.546875,21119.759765625,20582.619140625,733.6298,670.83185,733.6298,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
141,4380,1790431.171066572,201733.8125,639.3389637470245,74.39003163910749,80.73525701809317,74.39003163910749,-3779.98974609375,28032.755859375,21055.373046875,6977.3828125,-6922.43505859375,33524.19921875,21265.50390625,12258.6953125,-27020.890625,20723.5859375,20991.01171875,733.94965,668.009,733.94965,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
151,4680,1342297.701691914,201733.8125,677.6424322128296,80.36383581484425,69.28693461798572,80.36383581484425,-3293.209716796875,26840.068359375,20789.64453125,6050.423828125,-4269.7529296875,29335.712890625,20572.5703125,8763.142578125,-26529.017578125,20524.87890625,20013.79296875,735.63763,674.16376,735.63763,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
161,4980,1563851.804637093,201733.8125,715.9700927734375,83.50181605296167,64.57939382695774,83.50181605296167,-5244.056640625,30150.767578125,21546.53515625,8604.232421875,-5271.37548828125,30758.259765625,20456.66015625,10301.599609375,-27499.431640625,21398.3046875,20337.08984375,737.3313,673.2313,737.3313,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
171,5280,1780123.4981989677,201733.8125,754.3433630466461,83.34336998924198,61.96361409979378,83.34336998924198,-4883.208984375,29287.6328125,21550.52734375,7737.10546875,-4520.6865234375,30259.0390625,20654.853515625,9604.185546875,-27560.8671875,21465.9140625,20316.509765625,738.21545,672.36194,738.21545,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
181,5580,1568779.7683945869,201733.8125,792.4270071983337,83.29652506317282,66.17803780702361,83.29652506317282,-3011.401611328125,27512.37109375,21536.619140625,5975.751953125,-5367.125,29474.517578125,19248.029296875,10226.48828125,-27748.5078125,21895.498046875,19510.03515625,738.4575,672.1487,738.4575,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
191,5880,1444581.148239059,201733.8125,830.6803526878357,89.94055743977869,69.22177655599712,89.94055743977869,-1889.3974609375,26087.50390625,21175.08984375,4912.4140625,-4765.345703125,29044.18359375,19747.525390625,9296.658203125,-26812.8359375,21018.80078125,19313.447265625,739.9907,675.4243,739.9907,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
201,6180,1760356.6402000163,201733.8125,869.0878777503967,96.23574737800693,77.92558824636548,96.23574737800693,-5393.8984375,29853.767578125,21813.353515625,8040.4140625,-3213.26611328125,27106.625,19398.30078125,7708.32421875,-27667.2109375,21861.3046875,19353.017578125,740.78955,676.0936,740.78955,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
211,6480,1855015.7953545596,201733.8125,907.4716939926147,121.1093626989615,59.290666595834054,121.1093626989615,-3307.7060546875,28591.35546875,21517.357421875,7073.998046875,-6006.6162109375,31394.8359375,20678.802734375,10716.033203125,-27039.16796875,21039.91015625,19997.521484375,742.46155,677.3245,742.46155,"[1336.6333     36.154217   86.73889   106.23194    65.17997   855.9229
 1064.8344   2325.6545  ]"
