iter,fes,curr_bestf,bestf,time,distance_history,distance_gen,distance_train,d1_loss,d1_real,d1_fake,d1_Wdistance,d2_loss,d2_real,d2_fake,d2_Wdistance,g_loss,g_d1_loss,g_d2_loss,spread_history,spread_gen,spread_train,best_x
0,1000,49463.113,49463.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
1,1500,989953.2805729447,49463.11328125,5.845277547836304,26.447758453231543,28.41633171467368,26.447758453231543,-4420.6171875,3744.96630859375,-4640.4619140625,8385.427734375,-3929.1181640625,7135.99853515625,-1366.661865234375,8502.66015625,4636.31298828125,-4522.310546875,-1140.0228271484375,696.0078,702.1697,696.0078,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
11,6500,1019494.1001859267,20842.480942389277,65.82111835479736,28.203314289707638,29.328227119361106,26.58119221847705,-6801.732421875,-17532.337890625,-26498.720703125,8966.3828125,-5916.685546875,8564.2119140625,-2431.157470703125,10995.369140625,26830.396484375,-26588.841796875,-2415.55419921875,709.8323903998831,702.1093,701.3145,"[1378.49170382   19.50250851   85.25667094   57.82712897   48.002733
  558.21213606  862.85160112 2381.99933558]"
21,11500,943696.5557446714,18264.638894155974,125.44872546195984,35.2229317810939,29.861414101423925,28.57805664693438,-1977.062255859375,-7811.85205078125,-11624.974609375,3813.12255859375,-4662.2099609375,9448.53515625,-106.50997161865234,9555.044921875,11805.5078125,-11808.365234375,28.572437286376953,728.4198263870979,701.72424,716.417806477882,"[1405.58688566   20.89697759   88.94719801   14.79409585   68.79558277
  853.3291576   622.73084172 2568.88912341]"
31,16500,1008526.9691844167,18264.638894155974,184.95344471931458,90.66454282844798,29.413434079707105,37.663421776187896,-1081.76904296875,2462.602783203125,-431.99505615234375,2894.597900390625,-4808.525390625,8192.7578125,-1148.354248046875,9341.1123046875,436.1968994140625,-366.2606506347656,-699.3623046875,742.3281028442564,701.0748,730.5873757347938,"[1405.58688566   20.89697759   88.94719801   14.79409585   68.79558277
  853.3291576   622.73084172 2568.88912341]"
41,21500,963270.6335989067,18264.638894155974,244.66399717330933,95.00326562210877,29.40142210580206,101.2834400619574,-3615.5693359375,7101.5537109375,422.8999328613281,6678.65380859375,-4368.44140625,7725.8798828125,-874.4310302734375,8600.310546875,36.153873443603516,59.93828201293945,-960.9215087890625,758.60428038422,701.8413,744.2258585287555,"[1405.58688566   20.89697759   88.94719801   14.79409585   68.79558277
  853.3291576   622.73084172 2568.88912341]"
51,26500,947657.2872492627,18264.638894155974,304.53143286705017,85.3281587898146,29.5277263718411,95.70550633043999,-3054.40673828125,17928.05078125,11653.5625,6274.48828125,-5639.3740234375,8683.369140625,-863.1366577148438,9546.505859375,-12387.2509765625,12423.4072265625,-361.5628356933594,768.1579780052741,701.09503,760.216042406729,"[1405.58688566   20.89697759   88.94719801   14.79409585   68.79558277
  853.3291576   622.73084172 2568.88912341]"
61,31500,833106.0700269636,18264.638894155974,365.0127136707306,76.59877621055628,30.122920033700094,86.35728534171243,-2970.599609375,23128.55859375,17302.349609375,5826.208984375,-4401.5478515625,7382.4287109375,-1476.3380126953125,8858.7666015625,-17152.98828125,17306.794921875,-1538.067138671875,777.7274985145976,701.9533,768.9509987829266,"[1405.58688566   20.89697759   88.94719801   14.79409585   68.79558277
  853.3291576   622.73084172 2568.88912341]"
