iter,fes,curr_bestf,bestf,time,distance_history,distance_gen,distance_train,d1_loss,d1_real,d1_fake,d1_Wdistance,d2_loss,d2_real,d2_fake,d2_Wdistance,g_loss,g_d1_loss,g_d2_loss,spread_history,spread_gen,spread_train,best_x
0,2000,15886.4,15886.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1485.9255     41.109016   85.461235   59.36323    30.977901 1031.7878
  591.60474  2596.0198  ]"
1,2050,1634207.989844532,15886.400390625,108.74383997917175,123.72774244723958,56.24818467897054,123.72774244723958,-3820.201171875,23184.16796875,15869.6923828125,7314.4755859375,-5725.3330078125,31768.712890625,21145.19921875,10623.513671875,-21715.908203125,15452.369140625,20878.462890625,734.9001,671.454,734.9001,"[1485.9255     41.109016   85.461235   59.36323    30.977901 1031.7878
  591.60474  2596.0198  ]"
11,2550,1358240.267028005,15886.400390625,150.60963106155396,41.95689276362316,58.36905980916097,41.95689276362316,-3290.63818359375,13414.8076171875,7946.767578125,5468.0400390625,-4883.7294921875,31867.31640625,22143.5,9723.81640625,-14977.8828125,8256.1455078125,22405.791015625,715.0195,671.6321,715.0195,"[1485.9255     41.109016   85.461235   59.36323    30.977901 1031.7878
  591.60474  2596.0198  ]"
21,3050,1657780.9944345478,15886.400390625,192.29191422462463,38.38443180301532,58.42943952958873,38.38443180301532,-3180.1806640625,15561.2919921875,10513.3955078125,5047.896484375,-4679.31689453125,29016.908203125,19272.99609375,9743.912109375,-16344.90234375,10558.3837890625,19288.396484375,715.58685,671.35236,715.58685,"[1485.9255     41.109016   85.461235   59.36323    30.977901 1031.7878
  591.60474  2596.0198  ]"
31,3550,1729713.8954835925,15886.400390625,233.65569281578064,37.96475377707138,59.570959737669654,37.96475377707138,-2006.5177001953125,14949.9287109375,11033.6923828125,3916.236328125,-5472.04736328125,29438.36328125,18954.654296875,10483.708984375,-16745.8125,11007.642578125,19127.228515625,717.85944,675.7245,717.85944,"[1485.9255     41.109016   85.461235   59.36323    30.977901 1031.7878
  591.60474  2596.0198  ]"
41,4050,1840107.4223591783,15886.400390625,274.92891931533813,39.128212075211,59.47004043326824,39.128212075211,-1876.52001953125,16047.64453125,12443.3115234375,3604.3330078125,-4457.77001953125,28843.73046875,19238.658203125,9605.072265625,-18338.765625,12542.8291015625,19319.791015625,719.8154,674.1114,719.8154,"[1485.9255     41.109016   85.461235   59.36323    30.977901 1031.7878
  591.60474  2596.0198  ]"
51,4550,1771552.3857564956,15886.400390625,316.2152054309845,39.89315107721323,54.83544181314323,39.89315107721323,-2278.65283203125,18342.775390625,14161.361328125,4181.4140625,-4586.9482421875,32578.38671875,22784.396484375,9793.990234375,-20908.359375,14055.462890625,22842.986328125,721.97754,670.90137,721.97754,"[1485.9255     41.109016   85.461235   59.36323    30.977901 1031.7878
  591.60474  2596.0198  ]"
61,5050,1527517.0165670381,15886.400390625,357.21265602111816,40.68283050966883,55.1857148964134,40.68283050966883,-2321.28369140625,18780.255859375,14522.4169921875,4257.8388671875,-5159.1220703125,31669.111328125,21163.556640625,10505.5546875,-20901.171875,14448.4560546875,21509.048828125,723.9105,675.80316,723.9105,"[1485.9255     41.109016   85.461235   59.36323    30.977901 1031.7878
  591.60474  2596.0198  ]"
71,5550,1703198.5260604718,15886.400390625,398.1504123210907,41.48703011017811,59.02526350853026,41.48703011017811,-2743.98974609375,20981.1171875,15951.369140625,5029.748046875,-5623.8408203125,30646.74609375,19959.556640625,10687.189453125,-21669.294921875,15759.6142578125,19698.935546875,725.62445,675.50085,725.62445,"[1485.9255     41.109016   85.461235   59.36323    30.977901 1031.7878
  591.60474  2596.0198  ]"
81,6050,1496099.1573391033,15886.400390625,438.85689330101013,42.97106605103962,60.24128174393552,42.97106605103962,-3533.5869140625,20443.3046875,14966.8349609375,5476.4697265625,-5685.734375,32343.21484375,21188.228515625,11154.986328125,-21286.767578125,14969.3720703125,21057.982421875,727.05225,674.7369,727.05225,"[1485.9255     41.109016   85.461235   59.36323    30.977901 1031.7878
  591.60474  2596.0198  ]"
91,6550,1719260.186962142,15886.400390625,479.3359546661377,45.1093516702468,56.62022524382953,45.1093516702468,-3297.4423828125,21621.94921875,15447.2021484375,6174.7470703125,-3691.80078125,28243.755859375,19513.814453125,8729.94140625,-21937.41015625,15917.4306640625,20066.59765625,728.3017,671.87805,728.3017,"[1485.9255     41.109016   85.461235   59.36323    30.977901 1031.7878
  591.60474  2596.0198  ]"
101,7050,1360783.7243632532,15886.400390625,519.6545009613037,46.205029850634055,57.96802468161576,46.205029850634055,-2884.2431640625,22358.2734375,16785.5390625,5572.734375,-6309.3310546875,31036.71484375,19869.427734375,11167.287109375,-22998.509765625,16977.21875,20070.970703125,729.6229,673.47363,729.6229,"[1485.9255     41.109016   85.461235   59.36323    30.977901 1031.7878
  591.60474  2596.0198  ]"
111,7550,1946627.0993904152,15886.400390625,559.7194845676422,47.553783796634114,46.260375574779445,47.553783796634114,-3777.645263671875,24185.197265625,17658.376953125,6526.8203125,-5079.8720703125,30377.337890625,20238.6796875,10138.658203125,-23147.599609375,17234.19921875,19711.33203125,731.2359,675.0822,731.2359,"[1485.9255     41.109016   85.461235   59.36323    30.977901 1031.7878
  591.60474  2596.0198  ]"
121,8050,1727943.3226905058,15886.400390625,599.8334584236145,48.51055758981839,63.66182254168149,48.51055758981839,-823.96484375,21432.326171875,17785.8046875,3646.521484375,-4257.87255859375,28114.697265625,18913.4609375,9201.236328125,-23146.41796875,17563.12890625,18610.96484375,732.5118,669.09344,732.5118,"[1485.9255     41.109016   85.461235   59.36323    30.977901 1031.7878
  591.60474  2596.0198  ]"
131,8550,1292809.4652506718,15886.400390625,639.8069903850555,51.04526100105706,52.93624303356857,51.04526100105706,-3200.866455078125,24491.78515625,18257.267578125,6234.517578125,-4591.40771484375,29086.375,19702.19921875,9384.17578125,-24127.671875,18283.48046875,19480.638671875,733.8887,675.14056,733.8887,"[1485.9255     41.109016   85.461235   59.36323    30.977901 1031.7878
  591.60474  2596.0198  ]"
141,9050,1322423.0264643815,15886.400390625,685.1211843490601,53.817314098428234,55.37127249724816,53.817314098428234,-1594.8837890625,23023.3984375,18511.345703125,4512.052734375,-4728.30078125,29243.7421875,20108.26953125,9135.47265625,-24398.662109375,18363.525390625,20117.123046875,735.29767,674.7914,735.29767,"[1485.9255     41.109016   85.461235   59.36323    30.977901 1031.7878
  591.60474  2596.0198  ]"
