iter,fes,curr_bestf,bestf,time,distance_history,distance_gen,distance_train,d1_loss,d1_real,d1_fake,d1_Wdistance,d2_loss,d2_real,d2_fake,d2_Wdistance,g_loss,g_d1_loss,g_d2_loss,spread_history,spread_gen,spread_train,best_x
0,1000,642763.2,642763.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1337.9664     25.262085   87.05351   205.86221     9.286302  378.6096
 1628.8242   1676.099   ]"
1,1500,10222209.388000913,642763.1875,18.518988132476807,31.457565083205264,29.25022582365459,31.457565083205264,-5607.89013671875,11704.39453125,558.4716796875,11145.9228515625,-4887.0537109375,8953.318359375,-772.8185424804688,9726.13671875,-827.8455810546875,849.0047607421875,-423.18341064453125,719.8537,701.13934,719.8537,"[1337.9664     25.262085   87.05351   205.86221     9.286302  378.6096
 1628.8242   1676.099   ]"
