iter,fes,curr_bestf,bestf,time,distance_history,distance_gen,distance_train,d1_loss,d1_real,d1_fake,d1_Wdistance,d2_loss,d2_real,d2_fake,d2_Wdistance,g_loss,g_d1_loss,g_d2_loss,spread_history,spread_gen,spread_train,best_x
0,1000,49463.113,49463.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
1,1200,1353447.1357681064,49463.11328125,108.18597412109375,28.188777999750673,40.587855191470936,28.188777999750673,-3954.19580078125,20028.21875,12023.4619140625,8004.7568359375,-5725.3330078125,31768.712890625,21145.19921875,10623.513671875,-18019.95703125,11756.4189453125,20878.462890625,716.0541,672.42316,716.0541,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
11,3200,1264349.3239664524,49463.11328125,154.6863350868225,28.743788168452767,38.620750317532966,28.743788168452767,-1272.925048828125,-16706.861328125,-20245.09375,3538.232421875,-5035.181640625,30213.771484375,20216.173828125,9997.59765625,13578.392578125,-19643.87890625,20218.2890625,688.3485,673.7149,688.3485,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
21,5200,1222157.1354882102,49463.11328125,201.66011548042297,23.494548094812124,39.51530616341511,29.158093778553237,-2059.074462890625,-18999.033203125,-24884.50390625,5885.470703125,-4636.57421875,29591.154296875,19572.99609375,10018.158203125,19184.720703125,-25040.0859375,19517.8828125,685.8599974926836,674.3979,686.76874,"[1381.85766602   84.66886902   86.64254761  188.59791565   10.77481937
  384.77639771  492.55609131 2208.05810547]"
31,7200,1344891.0860415194,49463.11328125,247.42775893211365,28.39156697638092,40.71466155409495,28.39156697638092,-5512.89453125,-8240.896484375,-17902.9765625,9662.080078125,-4857.9208984375,28592.38671875,18827.998046875,9764.388671875,11919.615234375,-17551.400390625,18772.6171875,703.6926117283678,673.22974,703.6926117283678,"[1381.85766602   84.66886902   86.64254761  188.59791565   10.77481937
  384.77639771  492.55609131 2208.05810547]"
41,9200,1164740.5346307855,32651.716393273135,293.90369176864624,162.1945079688266,40.51379213031505,37.20722842903106,-3804.856689453125,5603.46728515625,-1840.773681640625,7444.2412109375,-4284.595703125,29790.275390625,19833.58984375,9956.685546875,-3960.7822265625,-2011.7030029296875,19908.283203125,758.3754157480438,673.49854,723.8658144166021,"[1359.77405214   31.85315377   85.88169878  121.97659495    9.2352762
  925.99767472  673.70219348 2424.0694329 ]"
51,11200,1518376.7662735917,32651.716393273135,339.78766417503357,168.62084243296943,41.03447462313548,168.62084243296943,-5788.720703125,43528.85546875,32919.640625,10609.21484375,-3620.166015625,28452.55859375,20259.8515625,8192.70703125,-40356.953125,33944.27734375,21375.583984375,766.9167966065178,674.8489,766.9167966065178,"[1359.77405214   31.85315377   85.88169878  121.97659495    9.2352762
  925.99767472  673.70219348 2424.0694329 ]"
61,13200,1331521.8577297705,15920.664597797366,386.020626783371,158.45500980226797,40.38353367787465,179.33345784009103,-5856.0419921875,49802.3046875,38785.26953125,11017.03515625,-5660.52001953125,30429.50390625,20022.173828125,10407.330078125,-44325.859375,38370.24609375,19852.041015625,778.8610946225142,677.1499,771.0669626953311,"[1324.83007792   31.95073731   85.49647378   73.6191523    27.88400798
 1111.10125029  909.96740964 2418.53874864]"
71,15200,969205.5760296298,15920.664597797366,432.0779232978821,171.8363005139132,39.04931597306211,171.8363005139132,-4861.765625,52277.1953125,41880.140625,10397.0546875,-5178.82470703125,30925.10546875,20450.560546875,10474.544921875,-46866.953125,40902.328125,19882.083984375,780.1373258725035,673.72546,780.1373258725035,"[1324.83007792   31.95073731   85.49647378   73.6191523    27.88400798
 1111.10125029  909.96740964 2418.53874864]"
81,17200,1328990.8113251196,15920.664597797366,477.80892729759216,174.29057576164865,41.28575090558027,185.6462096034495,-8150.7666015625,55305.92578125,41759.25390625,13546.671875,-5029.82568359375,30067.17578125,19679.767578125,10387.408203125,-49064.46875,42974.015625,20301.5078125,786.4550554872886,675.7811,782.4458889432107,"[1324.83007792   31.95073731   85.49647378   73.6191523    27.88400798
 1111.10125029  909.96740964 2418.53874864]"
91,19200,1096730.2850985872,15920.664597797366,523.3431811332703,189.7224584896595,40.678615268623886,189.7224584896595,-5171.77392578125,53756.0625,43102.07421875,10653.98828125,-5126.537109375,30685.625,20514.544921875,10171.080078125,-49015.9765625,43038.83984375,19923.783203125,788.1689173201154,674.2068,788.1689173201154,"[1324.83007792   31.95073731   85.49647378   73.6191523    27.88400798
 1111.10125029  909.96740964 2418.53874864]"
101,21200,1556410.7344711246,15920.664597797366,569.0944364070892,177.99540273638763,39.253268165749,213.0371785503854,-8036.9150390625,58497.4453125,44511.50390625,13985.94140625,-4612.59912109375,30333.43359375,20986.333984375,9347.099609375,-51016.91796875,44739.87890625,20923.462890625,790.0706884252501,672.0422,788.3538477654663,"[1324.83007792   31.95073731   85.49647378   73.6191523    27.88400798
 1111.10125029  909.96740964 2418.53874864]"
111,23200,1548657.3712804127,15920.664597797366,614.6175601482391,199.67808001573772,40.426969601473985,199.67808001573772,-4950.58154296875,55736.62890625,45152.17578125,10584.453125,-5268.599609375,31562.55078125,21386.990234375,10175.560546875,-51649.8828125,45207.890625,21473.30859375,790.3994661306357,674.8432,790.3994661306357,"[1324.83007792   31.95073731   85.49647378   73.6191523    27.88400798
 1111.10125029  909.96740964 2418.53874864]"
