iter,fes,curr_bestf,bestf,time,distance_history,distance_gen,distance_train,d1_loss,d1_real,d1_fake,d1_Wdistance,d2_loss,d2_real,d2_fake,d2_Wdistance,g_loss,g_d1_loss,g_d2_loss,spread_history,spread_gen,spread_train,best_x
0,1000,49478284.0,49478284.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
1,2000,1008402753.0743734,49478284.0,18.55293297767639,26.403288422494057,25.081261977984504,26.403288422494057,-4657.7587890625,5020.66455078125,-4346.07470703125,9366.7392578125,-4658.6044921875,8354.7705078125,-1259.8175048828125,9614.587890625,4313.38818359375,-3892.05078125,-842.6743774414062,694.79626,701.3109,694.79626,"[1381.8577     84.66887    86.64255   188.59792    10.774819  384.7764
  492.5561   2208.058   ]"
11,12000,879854707.7485235,16172025.870088995,209.62009954452515,32.56630962323629,25.729600445785064,30.936130860298604,-2171.87451171875,-9354.1962890625,-12689.2509765625,3335.0546875,-4142.4541015625,7040.18798828125,-1128.1212158203125,8168.30908203125,13153.1796875,-12412.4736328125,-1481.41162109375,723.8501624201862,701.882,712.7728,"[1274.89087153   27.65909776   86.3668765    85.79229075   38.99782919
 1488.69988856  696.95641283 2495.85249571]"
21,22000,878941443.3737692,15738942.230014717,398.20631551742554,59.43174107589339,25.629623461757973,40.634033386460125,-3812.3740234375,10322.9482421875,4640.2333984375,5682.71484375,-5334.0400390625,8307.2548828125,-1677.2713623046875,9984.5263671875,-4508.990234375,5027.3251953125,-1036.6700439453125,746.6356662091961,701.6052,736.350580466085,"[1454.39296697   31.44994128   87.20257367   82.03132755   34.86673643
 1278.4956773  1033.93409762 2367.68741977]"
31,32000,837297140.1263078,13611098.874578249,584.0717210769653,148.06541261989162,25.69255558859712,162.1936428564561,-5669.1357421875,16059.072265625,6196.02099609375,9863.05078125,-4927.33544921875,6632.6787109375,-2547.48291015625,9180.162109375,-4639.44384765625,5997.72900390625,-2716.5703125,765.3531383444774,701.61304,757.1130034032631,"[1445.04709698   23.63436948   86.7007893   108.28767769   27.61086107
  944.29680291  616.78798775 2504.86741151]"
41,42000,927431170.5157541,13611098.874578249,769.9976739883423,147.7408605266693,25.774723763872526,170.07940546905465,-4770.01513671875,22855.8984375,13770.82421875,9085.07421875,-5047.482421875,7681.1083984375,-1769.6226806640625,9450.7314453125,-12604.0419921875,13583.3095703125,-1958.5347900390625,778.8791201118607,701.794,772.0413897267747,"[1445.04709698   23.63436948   86.7007893   108.28767769   27.61086107
  944.29680291  616.78798775 2504.86741151]"
51,52000,954492014.3903563,12816062.821931718,956.7940876483917,143.64248220856408,26.06065815464535,170.08579013405054,-5504.59814453125,30910.62109375,20370.318359375,10540.302734375,-3156.85791015625,5500.0126953125,-1470.9544677734375,6970.96728515625,-20188.12109375,20890.443359375,-1404.64599609375,796.5744639082426,701.84955,786.3262739894086,"[1449.21536634   32.06167025   86.14384702   68.94277681   38.04768512
 1047.46859947  740.05549338 2514.40571051]"
61,62000,974192963.6089667,12020709.781445954,1146.623738527298,149.40422548308933,25.577143415042023,164.36019066016493,-9263.990234375,38091.08984375,21565.216796875,16525.873046875,-6172.62744140625,9401.837890625,-1850.4898681640625,11252.328125,-20833.76171875,21722.755859375,-1777.9893798828125,806.9772142460288,701.5395,804.6121117962531,"[1447.84857632   29.54053986   86.52788711   99.8179081    29.61896186
 1027.17395474  660.2983735  2510.95566219]"
71,72000,901354577.7541827,9744453.059834087,1334.4295213222504,170.8689899786536,25.756760403924766,198.45785809709625,-9114.3828125,37521.5859375,20369.849609375,17151.736328125,-5941.14794921875,9185.626953125,-1327.7686767578125,10513.3955078125,-19458.765625,20200.087890625,-1482.645751953125,809.678433401739,701.769,805.8828792020746,"[1447.89089528   31.72237102   86.4079055    93.49328737   30.68532391
 1041.89471168  681.71410045 2512.325084  ]"
81,82000,1008281677.5798923,9744453.059834087,1525.883761882782,163.98471216620982,25.359193849000615,229.32635434587394,-9104.73046875,41013.3359375,22832.107421875,18181.228515625,-5444.57958984375,8186.71142578125,-2016.5504150390625,10203.26171875,-23070.1015625,23806.892578125,-1473.581787109375,828.0404107302863,702.0381,817.5106315736542,"[1447.89089528   31.72237102   86.4079055    93.49328737   30.68532391
 1041.89471168  681.71410045 2512.325084  ]"
91,92000,935829850.3354031,7576301.371168045,1712.2122564315796,255.34817131097296,25.863608794229798,285.46460244370365,-12587.6064453125,53858.5078125,30549.607421875,23308.900390625,-6535.27587890625,8645.4638671875,-2410.130615234375,11055.5947265625,-29550.146484375,30612.236328125,-2124.1806640625,834.1135562984399,701.87866,831.5924279287474,"[1323.3245671    29.22446827   86.2781415    66.64409729   39.41424216
 1000.56257668  721.53653178 2513.39620532]"
101,102000,906822179.1844578,3359608.2745111682,1897.7848477363586,267.9404562649297,25.921337145261436,276.4137852079437,-10748.21484375,55507.73828125,34020.09765625,21487.640625,-4369.7822265625,7610.94677734375,-1322.042236328125,8932.9892578125,-34183.9609375,34744.31640625,-1120.7113037109375,836.2933950340912,701.126,835.5896219400686,"[1310.84450503   28.58499802   86.30299116   67.21322358   39.65278945
 1012.92833359  691.0303355  2519.93552886]"
111,112000,908662660.0928024,3290290.984796009,2083.9910016059875,222.11541724497658,25.19288905881276,226.64954795584808,-10951.55078125,58232.875,35829.4453125,22403.4296875,-6034.05322265625,8630.03515625,-2135.922607421875,10765.9580078125,-34418.82421875,35324.16015625,-1810.67333984375,836.3713084719901,701.59216,838.0216757806118,"[1314.42519142   28.8010772    86.2947269    67.1020572    39.60358294
 1007.97161776  704.57389367 2514.3968189 ]"
121,122000,853090345.1490135,3247831.2281104117,2268.3300879001617,229.10162505384875,25.22761040032193,219.0580031581945,-11924.7109375,55973.6171875,32604.83984375,23368.77734375,-6164.6318359375,9234.943359375,-1559.4283447265625,10794.3720703125,-31956.7890625,32436.1171875,-958.6570434570312,833.0420491963813,701.5912,835.9118156037614,"[1314.25396155   28.58762202   86.29975835   67.1959043    39.62449844
 1010.71904173  696.09439001 2518.4752823 ]"
131,132000,981104278.6904609,3247831.2281104117,2452.935208797455,65.76534555174143,25.579643086284264,127.56311373794023,-12505.810546875,50822.3828125,26564.54296875,24257.83984375,-5327.861328125,8356.1826171875,-1695.7984619140625,10051.9814453125,-26120.615234375,26847.880859375,-1454.5301513671875,827.927027190923,701.7291,829.967556391731,"[1314.25396155   28.58762202   86.29975835   67.1959043    39.62449844
 1010.71904173  696.09439001 2518.4752823 ]"
141,142000,823293413.1495223,4269.484445697242,2638.0425612926483,42.43220790459903,25.751597587946026,63.94331132886706,-12141.40625,47835.76953125,23928.06640625,23907.703125,-4065.533203125,7949.18310546875,-677.9505004882812,8627.1337890625,-23251.162109375,23340.5703125,-178.8175811767578,826.3647315664291,702.1785,827.2503591191817,"[1370.68413119   28.83126402   86.30147115   68.48099473   39.94989847
 1022.53595844  697.12152803 2517.08954336]"
151,152000,1004468626.322143,4269.484445697242,2822.0255529880524,31.76603592922231,25.41969819000522,49.35600475837129,-12555.03125,47119.37109375,22819.900390625,24299.470703125,-5885.20068359375,9741.2294921875,-924.2149658203125,10665.4443359375,-23327.228515625,23650.6640625,-646.869873046875,826.1752962936966,701.3466,827.1734102214281,"[1370.68413119   28.83126402   86.30147115   68.48099473   39.94989847
 1022.53595844  697.12152803 2517.08954336]"
